epoch,loss
0,0.106438
10,0.082304
20,0.081211
30,0.078397
40,0.067855
50,0.047191
60,0.032258
70,0.025056
80,0.021238
90,0.018900
100,0.017313
110,0.016155
120,0.015266
130,0.014559
140,0.013981
150,0.013499
160,0.013089
170,0.012737
180,0.012432
190,0.012164
200,0.011927
210,0.011717
220,0.011529
230,0.011360
240,0.011208
250,0.011070
260,0.010944
270,0.010830
280,0.010725
290,0.010628
300,0.010539
310,0.010457
320,0.010381
330,0.010311
340,0.010245
350,0.010184
360,0.010127
370,0.010073
380,0.010023
390,0.009976
400,0.009932
410,0.009890
420,0.009851
430,0.009814
440,0.009779
450,0.009746
460,0.009715
470,0.009685
480,0.009657
490,0.009630
500,0.009605
510,0.009580
520,0.009557
530,0.009535
540,0.009514
550,0.009494
560,0.009475
570,0.009457
580,0.009440
590,0.009423
600,0.009407
610,0.009392
620,0.009377
630,0.009363
640,0.009349
650,0.009337
660,0.009324
670,0.009312
680,0.009301
690,0.009290
700,0.009279
710,0.009269
720,0.009259
730,0.009249
740,0.009240
750,0.009231
760,0.009223
770,0.009214
780,0.009206
790,0.009199
800,0.009191
810,0.009184
820,0.009177
830,0.009170
840,0.009164
850,0.009157
860,0.009151
870,0.009145
880,0.009139
890,0.009134
900,0.009128
910,0.009123
920,0.009118
930,0.009113
940,0.009108
950,0.009103
960,0.009099
970,0.009094
980,0.009090
990,0.009086
1000,0.009082
1010,0.009078
1020,0.009074
1030,0.009070
1040,0.009067
1050,0.009063
1060,0.009059
1070,0.009056
1080,0.009053
1090,0.009049
1100,0.009046
1110,0.009043
1120,0.009040
1130,0.009037
1140,0.009034
1150,0.009031
1160,0.009029
1170,0.009026
1180,0.009023
1190,0.009021
1200,0.009018
1210,0.009016
1220,0.009013
1230,0.009011
1240,0.009008
1250,0.009006
1260,0.009004
1270,0.009002
1280,0.008999
1290,0.008997
1300,0.008995
1310,0.008993
1320,0.008991
1330,0.008989
1340,0.008987
1350,0.008985
1360,0.008983
1370,0.008981
1380,0.008979
1390,0.008977
1400,0.008976
1410,0.008974
1420,0.008972
1430,0.008970
1440,0.008969
1450,0.008967
1460,0.008965
1470,0.008964
1480,0.008962
1490,0.008961
1500,0.008959
1510,0.008957
1520,0.008956
1530,0.008954
1540,0.008953
1550,0.008951
1560,0.008950
1570,0.008948
1580,0.008947
1590,0.008945
1600,0.008944
1610,0.008942
1620,0.008941
1630,0.008940
1640,0.008938
1650,0.008937
1660,0.008935
1670,0.008934
1680,0.008933
1690,0.008932
1700,0.008930
1710,0.008929
1720,0.008928
1730,0.008926
1740,0.008925
1750,0.008924
1760,0.008923
1770,0.008921
1780,0.008920
1790,0.008919
1800,0.008917
1810,0.008916
1820,0.008915
1830,0.008914
1840,0.008913
1850,0.008911
1860,0.008910
1870,0.008909
1880,0.008908
1890,0.008907
1900,0.008905
1910,0.008904
1920,0.008903
1930,0.008902
1940,0.008901
1950,0.008900
1960,0.008898
1970,0.008897
1980,0.008896
1990,0.008895
2000,0.008894
2010,0.008893
2020,0.008892
2030,0.008890
2040,0.008889
2050,0.008888
2060,0.008887
2070,0.008886
2080,0.008885
2090,0.008884
2100,0.008883
2110,0.008881
2120,0.008880
2130,0.008879
2140,0.008878
2150,0.008877
2160,0.008876
2170,0.008875
2180,0.008874
2190,0.008873
2200,0.008872
2210,0.008870
2220,0.008869
2230,0.008868
2240,0.008867
2250,0.008866
2260,0.008865
2270,0.008864
2280,0.008863
2290,0.008862
2300,0.008861
2310,0.008860
2320,0.008858
2330,0.008857
2340,0.008856
2350,0.008855
2360,0.008854
2370,0.008853
2380,0.008852
2390,0.008851
2400,0.008850
2410,0.008849
2420,0.008848
2430,0.008847
2440,0.008846
2450,0.008845
2460,0.008844
2470,0.008843
2480,0.008842
2490,0.008841
2500,0.008840
2510,0.008839
2520,0.008837
2530,0.008836
2540,0.008835
2550,0.008834
2560,0.008833
2570,0.008832
2580,0.008831
2590,0.008830
2600,0.008829
2610,0.008828
2620,0.008827
2630,0.008826
2640,0.008825
2650,0.008824
2660,0.008823
2670,0.008822
2680,0.008821
2690,0.008820
2700,0.008819
2710,0.008818
2720,0.008817
2730,0.008816
2740,0.008815
2750,0.008814
2760,0.008813
2770,0.008812
2780,0.008811
2790,0.008810
2800,0.008809
2810,0.008808
2820,0.008807
2830,0.008806
2840,0.008805
2850,0.008804
2860,0.008803
2870,0.008802
2880,0.008801
2890,0.008800
2900,0.008799
2910,0.008798
2920,0.008797
2930,0.008796
2940,0.008795
2950,0.008794
2960,0.008793
2970,0.008792
2980,0.008791
2990,0.008790
3000,0.008789
3010,0.008788
3020,0.008787
3030,0.008786
3040,0.008785
3050,0.008784
3060,0.008783
3070,0.008782
3080,0.008781
3090,0.008780
3100,0.008779
3110,0.008778
3120,0.008777
3130,0.008776
