epoch,loss
0,0.109151
10,0.076583
20,0.074732
30,0.071528
40,0.061056
50,0.041620
60,0.027160
70,0.019547
80,0.015224
90,0.012474
100,0.010577
110,0.009192
120,0.008137
130,0.007310
140,0.006644
150,0.006098
160,0.005642
170,0.005256
180,0.004926
190,0.004640
200,0.004390
210,0.004170
220,0.003975
230,0.003801
240,0.003645
250,0.003503
260,0.003375
270,0.003258
280,0.003151
290,0.003053
300,0.002962
310,0.002879
320,0.002801
330,0.002728
340,0.002661
350,0.002598
360,0.002539
370,0.002483
380,0.002431
390,0.002381
400,0.002335
410,0.002291
420,0.002249
430,0.002209
440,0.002172
450,0.002136
460,0.002102
470,0.002069
480,0.002038
490,0.002008
500,0.001979
510,0.001952
520,0.001926
530,0.001901
540,0.001876
550,0.001853
560,0.001830
570,0.001809
580,0.001788
590,0.001768
600,0.001748
610,0.001729
620,0.001711
630,0.001693
640,0.001676
650,0.001660
660,0.001644
670,0.001628
680,0.001613
690,0.001598
700,0.001584
710,0.001570
720,0.001557
730,0.001544
740,0.001531
750,0.001518
760,0.001506
770,0.001494
780,0.001483
790,0.001472
800,0.001461
810,0.001450
820,0.001439
830,0.001429
840,0.001419
850,0.001409
860,0.001400
870,0.001390
880,0.001381
890,0.001372
900,0.001363
910,0.001355
920,0.001346
930,0.001338
940,0.001330
950,0.001322
960,0.001314
970,0.001307
980,0.001299
990,0.001292
1000,0.001285
1010,0.001278
1020,0.001271
1030,0.001264
1040,0.001257
1050,0.001251
1060,0.001244
1070,0.001238
1080,0.001232
1090,0.001226
1100,0.001220
1110,0.001214
1120,0.001208
1130,0.001202
1140,0.001196
1150,0.001191
1160,0.001185
1170,0.001180
1180,0.001175
1190,0.001170
1200,0.001164
1210,0.001159
1220,0.001154
1230,0.001150
1240,0.001145
1250,0.001140
1260,0.001135
1270,0.001131
1280,0.001126
1290,0.001122
1300,0.001117
1310,0.001113
1320,0.001109
1330,0.001104
1340,0.001100
1350,0.001096
1360,0.001092
1370,0.001088
1380,0.001084
1390,0.001080
1400,0.001076
1410,0.001073
1420,0.001069
1430,0.001065
1440,0.001062
1450,0.001058
1460,0.001055
1470,0.001051
1480,0.001048
1490,0.001044
1500,0.001041
1510,0.001038
1520,0.001034
1530,0.001031
1540,0.001028
1550,0.001025
1560,0.001022
1570,0.001018
1580,0.001015
1590,0.001012
1600,0.001009
1610,0.001007
1620,0.001004
1630,0.001001
1640,0.000998
1650,0.000995
1660,0.000992
1670,0.000990
1680,0.000987
1690,0.000984
1700,0.000982
1710,0.000979
1720,0.000977
1730,0.000974
1740,0.000971
1750,0.000969
1760,0.000966
1770,0.000964
1780,0.000962
1790,0.000959
1800,0.000957
1810,0.000955
1820,0.000952
1830,0.000950
1840,0.000948
1850,0.000946
1860,0.000943
1870,0.000941
1880,0.000939
1890,0.000937
1900,0.000935
1910,0.000933
1920,0.000931
1930,0.000929
1940,0.000927
1950,0.000925
1960,0.000923
1970,0.000921
1980,0.000919
1990,0.000917
2000,0.000915
2010,0.000913
2020,0.000911
2030,0.000909
2040,0.000907
2050,0.000905
2060,0.000904
2070,0.000902
2080,0.000900
2090,0.000898
2100,0.000897
2110,0.000895
2120,0.000893
2130,0.000892
2140,0.000890
2150,0.000888
2160,0.000887
2170,0.000885
2180,0.000883
2190,0.000882
2200,0.000880
2210,0.000879
2220,0.000877
2230,0.000875
2240,0.000874
2250,0.000872
2260,0.000871
2270,0.000869
2280,0.000868
2290,0.000867
2300,0.000865
2310,0.000864
2320,0.000862
2330,0.000861
2340,0.000859
2350,0.000858
2360,0.000857
2370,0.000855
2380,0.000854
2390,0.000853
2400,0.000851
2410,0.000850
2420,0.000849
2430,0.000847
2440,0.000846
2450,0.000845
2460,0.000844
2470,0.000842
2480,0.000841
2490,0.000840
2500,0.000839
2510,0.000838
2520,0.000836
2530,0.000835
2540,0.000834
2550,0.000833
2560,0.000832
2570,0.000831
2580,0.000829
2590,0.000828
2600,0.000827
2610,0.000826
2620,0.000825
2630,0.000824
2640,0.000823
2650,0.000822
2660,0.000821
2670,0.000820
2680,0.000818
2690,0.000817
2700,0.000816
2710,0.000815
2720,0.000814
2730,0.000813
2740,0.000812
2750,0.000811
2760,0.000810
2770,0.000809
2780,0.000808
2790,0.000807
2800,0.000806
2810,0.000805
2820,0.000804
2830,0.000804
2840,0.000803
2850,0.000802
2860,0.000801
2870,0.000800
2880,0.000799
2890,0.000798
2900,0.000797
2910,0.000796
2920,0.000795
2930,0.000795
2940,0.000794
2950,0.000793
2960,0.000792
2970,0.000791
2980,0.000790
2990,0.000789
3000,0.000789
3010,0.000788
3020,0.000787
3030,0.000786
3040,0.000785
3050,0.000784
3060,0.000784
3070,0.000783
3080,0.000782
