epoch,loss
0,0.124622
10,0.066447
20,0.063289
30,0.061808
40,0.060642
50,0.059545
60,0.058480
70,0.057444
80,0.056455
90,0.055527
100,0.054667
110,0.053876
120,0.053151
130,0.052490
140,0.051889
150,0.051345
160,0.050852
170,0.050407
180,0.050004
190,0.049640
200,0.049310
210,0.049013
220,0.048745
230,0.048504
240,0.048289
250,0.048099
260,0.047934
270,0.047791
280,0.047670
290,0.047568
300,0.047475
310,0.047363
320,0.047178
330,0.046896
340,0.046618
350,0.046445
360,0.046377
370,0.046390
380,0.046463
390,0.046585
400,0.046747
410,0.046943
420,0.047163
430,0.047401
440,0.047647
450,0.047895
460,0.048139
470,0.048375
480,0.048600
490,0.048814
500,0.049016
510,0.049207
520,0.049388
530,0.049558
540,0.049719
550,0.049871
560,0.050015
570,0.050151
580,0.050280
590,0.050402
600,0.050517
610,0.050625
620,0.050728
630,0.050824
640,0.050916
650,0.051002
660,0.051083
670,0.051159
680,0.051232
690,0.051300
700,0.051364
710,0.051425
720,0.051482
730,0.051534
740,0.051583
750,0.051629
760,0.051670
770,0.051707
780,0.051741
790,0.051770
800,0.051796
810,0.051817
820,0.051835
830,0.051849
840,0.051858
850,0.051864
860,0.051866
